sicha_id,chelek_number,parasha,sicha_number,title,search_page_url,library_page_url,kehos_original_found,kehos_lahak_found,result,error
110,15,חיי שרה,,חלק טו • חיי שרה,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%97%d7%99%d7%99-%d7%a9%d7%a8%d7%94-chelek-15-chaye-sara/,,,,not_listed_or_unmatched,
114,15,תולדות,1,חלק טו • תולדות • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%aa%d7%95%d7%9c%d7%93%d7%95%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-toldos-sicha-1/,https://projectlikkuteisichos.org/15toldos1/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/aHEmp3TaXo47QDMEA2il%2Fpdf%2Fc469b450-38c4-11ec-9c7b-bbb36ae58a6f?alt=media&token=c1c5abb2-9fad-4e6b-9cf3-279d52e49b43,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/aHEmp3TaXo47QDMEA2il%2Fpdf%2Fcf489a30-38c4-11ec-9266-3387050aa193?alt=media&token=a537da3a-0ee3-4c22-ad3d-885ad4ed583e,original_found,
116,15,תולדות,2,חלק טו • תולדות • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%aa%d7%95%d7%9c%d7%93%d7%95%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-15-toldos-sicha-2/,https://projectlikkuteisichos.org/15toldos2/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/kknsu5onZ9TpVyLSKJhv%2Fpdf%2F2ff79ec0-38c6-11ec-b5ec-c56fe43bf14f?alt=media&token=e487341b-6a6c-44e9-92e0-842d00cee763,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/kknsu5onZ9TpVyLSKJhv%2Fpdf%2Fd4f96420-3a3e-11ec-89f0-7d75e5ac644f?alt=media&token=65fed1ac-ca2d-4d86-bf11-fef529ca1424,original_found,
120,15,ויצא,1,חלק טו • ויצא • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%a6%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-vayetze-sicha-1/,https://projectlikkuteisichos.org/15vayetze1/,https://drive.google.com/file/d/1vNQ8MDY6_GfrnnavDRjtoCxXqZjSZZFe/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/WXXbYdyVGxwHNbNIRp8H%2Fpdf%2F28fb4d30-3e4b-11ec-968d-9f49fbd89469?alt=media&token=fc44e8c0-092d-4f88-9271-112069c5e8f9,original_found,
122,15,ויצא,2,חלק טו • ויצא • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%a6%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-15-vayetze-sicha-2/,https://projectlikkuteisichos.org/15vayetze2/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/V477L8tbYdWpfQoXmdsP%2Fpdf%2F567c5c30-3e4c-11ec-95cf-2948a8e4ec05?alt=media&token=8e837a7b-060b-4318-9ecd-898693f787e8,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/V477L8tbYdWpfQoXmdsP%2Fpdf%2F2a2eceb0-3e4c-11ec-a8bf-b5a5b75939f6?alt=media&token=760c3654-a14d-4b06-b15f-025ad1479045,original_found,
126,15,וישלח,1,חלק טו • וישלח • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%a9%d7%9c%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-vayishlach-sicha-1/,https://projectlikkuteisichos.org/15vayishlach1/,https://drive.google.com/file/d/1YEVZzQGpMn_cB77GCciTj-t3mUdKlVUT/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/z9aPHAcqd6fgq0zMQDce%2Fpdf%2Fe1c90930-43d0-11ec-8167-1576c47b7748?alt=media&token=a3f2773b-3927-42bc-9a23-b6a958f75a25,original_found,
128,15,וישלח,2,חלק טו • וישלח • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%a9%d7%9c%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-15-vayishlach-sicha-2/,https://projectlikkuteisichos.org/15vayishlach2/,https://drive.google.com/file/d/1ErqoFSUdG7XkPTJmYVlXlqNNLj4SbxIZ/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/WXXbYdyVGxwHNbNIRp8H%2Fpdf%2F1b9c7f30-451a-11ec-99c3-574424286a9b?alt=media&token=1a76e7c5-bfe9-43a4-ba5c-8160c4d8196e,original_found,
131,15,וישב,1,חלק טו • וישב • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%a9%d7%91-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-vayeshev-sicha-1/,https://projectlikkuteisichos.org/15vayeshev1/,https://drive.google.com/file/d/1eJZVp2c20NhOIncBi23iZLVPTHjATLOJ/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/klLGoY9tDTYLmoBqMOq1%2Fpdf%2F161ce410-4956-11ec-b38d-ff3e52309f72?alt=media&token=b5940f55-505b-4c77-9b53-8a287eb949f2,original_found,
133,15,וישב,2,חלק טו • וישב • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%a9%d7%91-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-15-vayeshev-sicha-2/,https://projectlikkuteisichos.org/15vayeshev2/,https://drive.google.com/file/d/1myzAvaSSaN7z3jOP7kaXkfOGy66fm4LK/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/QhUGR5ozKd8tooDYRMCB%2Fpdf%2F3cec54f0-4a90-11ec-9867-d3c798c3c502?alt=media&token=111ef28f-17e1-4cb3-8f4d-cf97803e85f2,original_found,
139,15,ויגש,1,חלק טו • ויגש • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%92%d7%a9-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-vayigash-sicha-1/,https://projectlikkuteisichos.org/15vayigash1/,https://drive.google.com/file/d/1duyrlD3XNvdjnd1YgCAlYFMZVckG4tzX/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/a4vHG8wdui5U9watAee1%2Fpdf%2F7ab5c750-546b-11ec-8b72-6f0df673be0e?alt=media&token=3306a4d7-ccde-4863-8606-0ceedf8d305f,original_found,
141,15,ויגש,2,חלק טו • ויגש • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%92%d7%a9-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-15-vayigash-sicha-2/,https://projectlikkuteisichos.org/15vayigash2/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/GbLdxLnUbaYQtHbYJgDv%2Fpdf%2F650b2380-546d-11ec-863f-0b6352564070?alt=media&token=4b5ea468-654d-485c-96f0-8de262eb53c3,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/GbLdxLnUbaYQtHbYJgDv%2Fpdf%2F7001fe30-546d-11ec-baaa-c18d03aea714?alt=media&token=d6f7dfe1-169f-44a5-8105-5b5f60ead354,original_found,
145,15,ויחי,1,חלק טו • ויחי • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%97%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-15-vayechi-sicha-1/,https://projectlikkuteisichos.org/15vayechi1/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/xXzuCXTzNIceDbZkqp5D%2Fpdf%2F0508b790-59db-11ec-8c13-891ff57b638b?alt=media&token=273db35c-b24f-470c-bc5c-2cf66d9bd198,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/xXzuCXTzNIceDbZkqp5D%2Fpdf%2F11c49ad0-59db-11ec-8980-5384bef11cf9?alt=media&token=5157becf-4fce-4d5f-8aa6-d2fb4478c4d9,original_found,
147,15,ויחי,2,חלק טו • ויחי • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%95-%d7%95%d7%99%d7%97%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-15-vayechi-sicha-2/,https://projectlikkuteisichos.org/15vayechi2/,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/SpTpUx8rQfEW20fvvXv3%2Fpdf%2Fa5b27a50-59db-11ec-a1ec-e1dcbe341de8?alt=media&token=8637fc92-e32a-4ef9-ae36-e133be19abc1storage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/GbLdxLnUbaYQtHbYJgDv%2Fpdf%2F650b2380-546d-11ec-863f-0b6352564070?alt=media&token=4b5ea468-654d-485c-96f0-8de262eb53c3,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/SpTpUx8rQfEW20fvvXv3%2Fpdf%2Fb1ccc660-59db-11ec-8b0a-059f34f8b35d?alt=media&token=4ed61f8c-fb04-4c92-8754-d16772587704,original_found,
152,16,שמות,1,חלק טז • שמות • שיחה א,https://projectlikkuteisichos.org/16shemos1/,https://projectlikkuteisichos.org/16shemos1/,,,no_original_on_library_page,
153,16,שמות,2,חלק טז • שמות‎ • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%a9%d7%9e%d7%95%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-16-shemos-sicha-2/,https://projectlikkuteisichos.org/16shemos2/,https://drive.google.com/file/d/1BH43hJaQW1swCLoNjFPgWHqJ1_XNjRak/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/8VG5KYCkpnlI6j9f8E2w%2Fpdf%2F99d06b20-5f53-11ec-8920-2f531a5974eb?alt=media&token=210b04ba-4c66-4cfc-afdb-e41b30ee1148,original_found,
160,16,וארא,2,חלק טז • וארא • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%95%d7%90%d7%a8%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-16-vaera-sicha-2/,https://projectlikkuteisichos.org/16vaera2/,https://drive.google.com/file/d/1H-QpgS5reGiDFluVwDT5ZJD80TaHY9q2/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/QGQTvQb1vWMu6LcGYnSa%2Fpdf%2F2c8c2440-64db-11ec-9956-5bbe3c3566aa?alt=media&token=862a793b-fb33-462a-81bb-b60154578670,original_found,
164,16,בא,1,חלק טז • בא • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%91%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-16-bo-sicha-1/,https://projectlikkuteisichos.org/16bo1,https://drive.google.com/file/d/1zVcn7J75iV7deHpy1iBlmNwtlAETCTRW/view?usp=sharing,https://drive.google.com/file/d/1xYZrXc7OLd8JgDZMNVCliUqVjkc6206k/view?usp=sharing,original_found,
166,16,בא,2,חלק טז • בא • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%91%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-16-bo-sicha-2/,https://projectlikkuteisichos.org/16bo2,https://drive.google.com/file/d/1dZPL8pYSKhDPqpiHJaUjjvEAxV0yssUF/view?usp=sharing,https://drive.google.com/file/d/145-o_TJqzZA5U7Q7c2OljCUfUXxtQGjn/view?usp=sharing,original_found,
167,16,בא,3,חלק טז • בא • שיחה ג,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%91%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-16-bo-sicha-3/,,,,not_listed_or_unmatched,
168,16,בא,4,חלק טז • בא • שיחה ד,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%91%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%93-chelek-16-bo-sicha-4/,,,,not_listed_or_unmatched,
169,16,בא - י שבט,,חלק טז • בא - י שבט,https://projectlikkuteisichos.org/16boyudshvat/,,,,not_listed_or_unmatched,
170,16,י שבט,,חלק טז • י שבט,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%99-%d7%a9%d7%91%d7%98-chelek-16-yud-shvat/,,,,not_listed_or_unmatched,
171,16,בשלח,1,חלק טז • בשלח • שיחה א,https://projectlikkuteisichos.org/16beshalach1/,https://projectlikkuteisichos.org/16beshalach1/,,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/fKjjVhvBZnuGeIGFU4Jr%2Fpdf%2F87f4e300-5cd3-11eb-8b4a-c1b057ee5d53?alt=media&token=404c7dc5-e257-45c2-bf74-c8bee65061d4https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/fKjjVhvBZnuGeIGFU4Jr%2Fpdf%2F87f4e300-5cd3-11eb-8b4a-c1b057ee5d53?alt=media&token=404c7dc5-e257-45c2-bf74-c8bee65061d4,no_original_on_library_page,
173,16,בשלח,3,חלק טז • בשלח • שיחה ג,https://projectlikkuteisichos.org/16beshalach3/,https://projectlikkuteisichos.org/16beshalach3/,,,no_original_on_library_page,
175,16,יתרו,1,חלק טז • יתרו • שיחה א,https://projectlikkuteisichos.org/16yisro1/,https://projectlikkuteisichos.org/16yisro1/,,,no_original_on_library_page,
176,16,יתרו,2,חלק טז • יתרו • שיחה ב,https://projectlikkuteisichos.org/16yisro2/,https://projectlikkuteisichos.org/16yisro2/,,,no_original_on_library_page,
177,16,יתרו,3,חלק טז • יתרו • שיחה ג,https://projectlikkuteisichos.org/16yisro3/,https://projectlikkuteisichos.org/16yisro3/,,,no_original_on_library_page,
178,16,יתרו,4,חלק טז • יתרו • שיחה ד,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%99%d7%aa%d7%a8%d7%95-%d7%a9%d7%99%d7%97%d7%94-%d7%93/,https://projectlikkuteisichos.org/16yisro4/,https://drive.google.com/file/d/1I_7HiabAva25SZtIB-5Z8AD63hEBTakT/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/YwME9Sy9h98amyOgjsKn%2Fpdf%2F75933930-7557-11ec-a9ef-49224e4d8179?alt=media&token=dc2dd04f-39ea-4f2a-82af-94cab618e20f,original_found,
195,16,פורים,3,חלק טז • פורים • שיחה ג,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%a4%d7%95%d7%a8%d7%99%d7%9d-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-16-purim-sicha-3/,,,,not_listed_or_unmatched,
203,16,פקודי,1,חלק טז • פקודי • שיחה א,https://projectlikkuteisichos.org/16pekudei1/,https://projectlikkuteisichos.org/16pekudei1/,,,no_original_on_library_page,
204,16,פקודי,1,חלק טז • פקודי • שיחה א,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%a4%d7%a7%d7%95%d7%93%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-16-pekudei-sicha-1/,https://projectlikkuteisichos.org/16pekudei1/,,,no_original_on_library_page,
205,16,פקודי,2,חלק טז • פקודי • שיחה ב,https://projectlikkuteisichos.org/16pekudei2/,https://projectlikkuteisichos.org/16pekudei2/,,,no_original_on_library_page,
206,16,פקודי,2,חלק טז • פקודי • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%a4%d7%a7%d7%95%d7%93%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-16-pekudei-sicha-2/,https://projectlikkuteisichos.org/16pekudei2/,,,no_original_on_library_page,
209,16,ויקהל-פקודי,,חלק טז • ויקהל-פקודי,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%98%d7%96-%d7%95%d7%99%d7%a7%d7%94%d7%9c-%d7%a4%d7%a7%d7%95%d7%93%d7%99-chelek-16-vayakhel-pekudei/,,,,not_listed_or_unmatched,
212,17,Avos-Perek,,חלק יז • Avos-Perek,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-avos-perek-chelek-17-avos-perek/,,,,not_listed_or_unmatched,
213,17,בהר,,חלק יז • בהר • ל”ג בעומר,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%91%d7%94%d7%a8-%d7%9c%d7%92-%d7%91%d7%a2%d7%95%d7%9e%d7%a8-chelek-17-beharlagbomer/,https://projectlikkuteisichos.org/17beharlagbomer/,https://drive.google.com/file/d/1XogfGR_ffjn7C97oUooRkO-Rv1XqHPu8/view?usp=sharing,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/076OQzUoiNjyPl8EwoMY%2Fpdf%2F8a977b50-cd6f-11ec-965d-777025c0bb1c?alt=media&token=c0724b50-1e84-4605-94c1-52927cf8d035,original_found,
214,17,בחוקותי,2,חלק יז • בחוקותי • שיחה ב,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%91%d7%97%d7%95%d7%a7%d7%95%d7%aa%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-17-bechukosai-sicha-2/,,,,not_listed_or_unmatched,
215,17,בחוקותי,3,חלק יז • בחוקותי • שיחה ג,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%91%d7%97%d7%95%d7%a7%d7%95%d7%aa%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-17-bechukosai-sicha-3/,,,,not_listed_or_unmatched,
224,17,ויקרא,5,חלק יז • ויקרא • שיחה ה,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%95%d7%99%d7%a7%d7%a8%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%94-chelek-17-vayikra-sicha-5/,,,,not_listed_or_unmatched,
227,17,שבת הגדול,,חלק יז • שבת הגדול,https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%a9%d7%91%d7%aa-%d7%94%d7%92%d7%93%d7%95%d7%9c-chelek-17-shabbos-hagadol/,,,,not_listed_or_unmatched,
