sicha_id,chelek_number,parasha,sicha_number,sicha_label,title,url,kehos_original,kehos_lahak,scrape_error
212,17,Avos-Perek,,,"חלק יז • Avos-Perek",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-avos-perek-chelek-17-avos-perek/,,,
214,17,"בחוקותי",2,"שיחה ב","חלק יז • בחוקותי • שיחה ב",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%91%d7%97%d7%95%d7%a7%d7%95%d7%aa%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-17-bechukosai-sicha-2/,,,
215,17,"בחוקותי",3,"שיחה ג","חלק יז • בחוקותי • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%91%d7%97%d7%95%d7%a7%d7%95%d7%aa%d7%99-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-17-bechukosai-sicha-3/,,,
224,17,"ויקרא",5,"שיחה ה","חלק יז • ויקרא • שיחה ה",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%95%d7%99%d7%a7%d7%a8%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%94-chelek-17-vayikra-sicha-5/,,,
227,17,"שבת הגדול",,,"חלק יז • שבת הגדול",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%a9%d7%91%d7%aa-%d7%94%d7%92%d7%93%d7%95%d7%9c-chelek-17-shabbos-hagadol/,,,
236,17,"תזריע-פ׳ החודש",,,"חלק יז • תזריע-פ׳ החודש",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%96-%d7%aa%d7%96%d7%a8%d7%99%d7%a2-%d7%a4%d7%b3-%d7%94%d7%97%d7%95%d7%93%d7%a9-chelek-17-tazria-hachodesh/,,,
274,18,"נשא",3,"שיחה ג","חלק יח • נשא • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%97-%d7%a0%d7%a9%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-18-naso-sicha-3/,,,
282,18,"קרח",3,"שיחה ג","חלק יח • קרח • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%97-%d7%a7%d7%a8%d7%97-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-18-korach-sicha-3/,,,
292,19,"בראשית",3,"שיחה ג","חלק יט • בראשית • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%98-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-19-breishis-sicha-3/,,,
293,19,"בראשית",4,"שיחה ד","חלק יט • בראשית • שיחה ד",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%98-%d7%91%d7%a8%d7%90%d7%a9%d7%99%d7%aa-%d7%a9%d7%99%d7%97%d7%94-%d7%93-chelek-19-breishis-sicha-4/,,,
314,19,"חג סוכות",2,"שיחה ב","חלק יט • חג סוכות • שיחה ב",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%99%d7%98-sukkos-%d7%a9%d7%99%d7%97%d7%94-%d7%91-chelek-19-sukkos-sicha-2/,,,
388,21,"בא",1,"שיחה א","חלק כא • בא • שיחה א",https://projectlikkuteisichos.org/21bo1/,,,
392,21,"בשלח",3,"שיחה ג","חלק כא • בשלח • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%9b%d7%90-%d7%91%d7%9c%d7%a7-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-21-beshalach-sicha-3/,,,
412,21,"ויקהל-פקודי",,,"חלק כא • ויקהל-פקודי",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%9b%d7%90-%d7%95%d7%99%d7%a7%d7%94%d7%9c-%d7%a4%d7%a7%d7%95%d7%93%d7%99-chelek-21-vayakhel-pekudei/,,,
395,21,"יתרו",3,"שיחה ג","חלק כא • יתרו • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%9b%d7%90-%d7%99%d7%aa%d7%a8%d7%95-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-21-yisro-sicha-3/,,,
398,21,"משפטים",3,"שיחה ג","חלק כא • משפטים • שיחה ג",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%9b%d7%90-%d7%9e%d7%a9%d7%a4%d7%98%d7%99%d7%9d-%d7%a9%d7%99%d7%97%d7%94-%d7%92-chelek-21-mishpatim-sicha-3/,,,
405,21,"פורים-Tetzave",,,"חלק כא • פורים-Tetzave",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%9b%d7%90-%d7%a4%d7%95%d7%a8%d7%99%d7%9d-tetzave-chelek-21-purim-tetzave/,,,
406,21,"תשא",1,"שיחה א","חלק כא • תשא • שיחה א",https://projectlikkuteisichos.org/%d7%97%d7%9c%d7%a7-%d7%9b%d7%90-%d7%aa%d7%a9%d7%90-%d7%a9%d7%99%d7%97%d7%94-%d7%90-chelek-21-tisa-sicha-1/,,,
595,29,"ח""י אלול",,,"חלק כט • ח""י אלול",https://projectlikkuteisichos.org/chelek-29-chai-elul/,,https://firebasestorage.googleapis.com/v0/b/project-pls-e0f4f.appspot.com/o/pdf_v3%2FKciTTZrU096JZATUfAO5%2F29%20Chai%20Elul%20kehos%20Pages%20lahak.pdf?alt=media&token=33b2713b-514a-4b22-abb2-93bafb2ae2e0,
